Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
age_days,-1.718e-4,0.0022016,-0.0045088,0.0041342,"[-0.0045088, 0.0041342]",30
Intercept,-0.0630047,0.5298105,-1.0529141,1.0042477,"[-1.0529141, 1.0042477]",119
age_days,0.0023763,0.0021914,-0.001952,0.0065405,"[-0.001952, 0.0065405]",119
Intercept,0.6007158,0.5552931,-0.4844463,1.6932016,"[-0.4844463, 1.6932016]",53
age_days,1.347e-4,0.0022601,-0.0043065000000000004,0.0045526,"[-0.0043065, 0.0045526]",53
Intercept,-0.4594104,0.5483703,-1.5665511,0.5814168,"[-1.5665511, 0.5814168]",141
age_days,0.0040375,0.0022271,-5.219e-4,0.008211,"[-0.0005219, 0.008211]",141
Intercept,0.8043881,0.5464723,-0.2942343,1.8371224,"[-0.2942343, 1.8371224]",185
age_days,-7.899e-4,0.0022108,-0.0049318,0.0036936,"[-0.0049318, 0.0036936]",185
Intercept,0.1764673,0.4918827,-0.7671012,1.1598337,"[-0.7671012, 1.1598337]",97
age_days,0.0018596,0.0020656,-0.0021947,0.0058861,"[-0.0021947, 0.0058861]",97
Intercept,-0.3571718,0.5563053,-1.4444017,0.7208021,"[-1.4444017, 0.7208021]",75
age_days,0.0038788,0.0022549,-3.637e-4,0.0084184,"[-0.0003637, 0.0084184]",75
Intercept,0.559638,0.5215929,-0.4232353,1.6042888,"[-0.4232353, 1.6042888]",120
age_days,2.952e-4,0.0021211,-0.0039197,0.0043294,"[-0.0039197, 0.0043294]",120
Intercept,0.1553545,0.5375322,-0.9178886,1.1969713,"[-0.9178886, 1.1969713]",163
age_days,0.0018477,0.0022362,-0.0026164,0.0061383,"[-0.0026164, 0.0061383]",163
Intercept,-0.0804386,0.5221791,-1.0804368,0.9478665,"[-1.0804368, 0.9478665]",31
age_days,0.0027139,0.0021645,-0.0015732,0.0068186,"[-0.0015732, 0.0068186]",31
Intercept,0.9309865,0.5299991,-0.0970525,1.9830347,"[-0.0970525, 1.9830347]",142
age_days,-0.0015426,0.0021487,-0.0057399,0.0026553,"[-0.0057399, 0.0026553]",142
Intercept,0.4194564,0.5435508,-0.6590197,1.4671258,"[-0.6590197, 1.4671258]",54
age_days,6.926e-4,0.0022256,-0.0036445,0.0051029,"[-0.0036445, 0.0051029]",54
Intercept,0.0369666,0.5254366,-1.0104965,1.054526,"[-1.0104965, 1.054526]",186
age_days,0.0018892,0.0021401,-0.0022102,0.0061424,"[-0.0022102, 0.0061424]",186
Intercept,0.4648354,0.5414319,-0.6298453,1.493924,"[-0.6298453, 1.493924]",98
age_days,7.217e-4,0.0022122,-0.0036904,0.0049671,"[-0.0036904, 0.0049671]",98
Intercept,0.9152507,0.5434045,-0.1360152,1.9828745,"[-0.1360152, 1.9828745]",76
age_days,-0.0012292,0.0022049,-0.0053725,0.0032157,"[-0.0053725, 0.0032157]",76
Intercept,1.0771008,0.5565748,-0.0176317,2.1529006,"[-0.0176317, 2.1529006]",164
age_days,-0.0018442,0.0022476,-0.0060799,0.0027068,"[-0.0060799, 0.0027068]",164
Intercept,1.0629802,0.5433032,-0.0329174,2.1091615,"[-0.0329174, 2.1091615]",121
age_days,-0.0019598,0.0022195,-0.0062343,0.0024911,"[-0.0062343, 0.0024911]",121
Intercept,0.746404,0.5309797,-0.2954549,1.7971955,"[-0.2954549, 1.7971955]",32
age_days,-8.287e-4,0.002167,-0.0051278,0.0033974,"[-0.0051278, 0.0033974]",32
Intercept,-0.3041308,0.5533397,-1.3612636,0.8107609,"[-1.3612636, 0.8107609]",143
age_days,0.0038539,0.0022691,-6.028e-4,0.0083467,"[-0.0006028, 0.0083467]",143
Intercept,0.2104842,0.5263383,-0.8066724,1.2494514,"[-0.8066724, 1.2494514]",55
age_days,0.0012526,0.0021379,-0.002998,0.0053422,"[-0.002998, 0.0053422]",55
Intercept,0.7598813,0.5430442,-0.3171456,1.8013612,"[-0.3171456, 1.8013612]",187
age_days,-8.202e-4,0.0022424,-0.0052729,0.0034825,"[-0.0052729, 0.0034825]",187
Intercept,0.9865532,0.5537719,-0.0707411,2.0989536,"[-0.0707411, 2.0989536]",99
age_days,-0.0016962,0.0022661,-0.006073,0.0028128,"[-0.006073, 0.0028128]",99
Intercept,0.2926957,0.5231451,-0.744651,1.3111335,"[-0.744651, 1.3111335]",122
age_days,9.558e-4,0.0021255,-0.0031905,0.0051387,"[-0.0031905, 0.0051387]",122
Intercept,-0.3358351,0.529672,-1.3602602,0.7278293,"[-1.3602602, 0.7278293]",165
age_days,0.0035605,0.0021446,-6.769e-4,0.0077611,"[-0.0006769, 0.0077611]",165
Intercept,0.8546334,0.5118171,-0.1294571,1.8658123,"[-0.1294571, 1.8658123]",33
age_days,-0.0012172,0.002094,-0.0053118,0.0028672,"[-0.0053118, 0.0028672]",33
Intercept,0.3277801,0.5193094,-0.7274066,1.3160955,"[-0.7274066, 1.3160955]",144
age_days,0.0011448,0.0021538,-0.0029532,0.0054944,"[-0.0029532, 0.0054944]",144
Intercept,0.3462757,0.5696907,-0.73462,1.4929912,"[-0.73462, 1.4929912]",77
age_days,0.0010006,0.0023348,-0.0034394,0.0056875,"[-0.0034394, 0.0056875]",77
Intercept,0.3445811,0.5058267,-0.5923156,1.3989693,"[-0.5923156, 1.3989693]",56
age_days,9.575e-4,0.0021052,-0.0031527,0.0051156,"[-0.0031527, 0.0051156]",56
Intercept,0.84134660000000006,0.5350568,-0.1750763,1.9069869,"[-0.1750763, 1.9069869]",188
age_days,-0.00111,0.0021758,-0.005474,0.0029982,"[-0.005474, 0.0029982]",188
Intercept,0.5916295,0.5287138,-0.4204027,1.6360892,"[-0.4204027, 1.6360892]",166
age_days,1.702e-4,0.0021905,-0.0040874,0.0044104,"[-0.0040874, 0.0044104]",166
Intercept,1.1781323,0.5455947,0.0664401,2.2056107,"[0.0664401, 2.2056107]",100
age_days,-0.002267,0.002215,-0.0063567,0.0022978,"[-0.0063567, 0.0022978]",100
Intercept,1.1368357,0.518934,0.1332791,2.1725141,"[0.1332791, 2.1725141]",78
age_days,-0.0022133,0.0021375,-0.0064665,0.0019201,"[-0.0064665, 0.0019201]",78
Intercept,0.3812293,0.5183639,-0.6352948,1.4034734,"[-0.6352948, 1.4034734]",34
age_days,7.783e-4,0.0021261,-0.0033291,0.0050173,"[-0.0033291, 0.0050173]",34
Intercept,-0.4150654,0.5387775,-1.4844654,0.6204496,"[-1.4844654, 0.6204496]",145
age_days,0.0041591,0.0022236,-2.211e-4,0.0084944,"[-0.0002211, 0.0084944]",145
Intercept,0.6817874,0.53584,-0.4255742,1.6731542,"[-0.4255742, 1.6731542]",123
age_days,-5.477e-4,0.0021809,-0.004829,0.0037184,"[-0.004829, 0.0037184]",123
Intercept,0.727315,0.5396967,-0.3467049,1.7463513,"[-0.3467049, 1.7463513]",57
age_days,-4.438e-4,0.002207,-0.0046268,0.0039699,"[-0.0046268, 0.0039699]",57
Intercept,0.6545069,0.5103844,-0.3413452,1.662375,"[-0.3413452, 1.662375]",101
age_days,-4.543e-4,0.0021124,-0.0046615,0.0036271,"[-0.0046615, 0.0036271]",101
Intercept,0.0687293,0.5367973,-1.0151502,1.109185,"[-1.0151502, 1.109185]",189
age_days,0.0019144,0.0022069,-0.0022581,0.0064291,"[-0.0022581, 0.0064291]",189
Intercept,0.0244699,0.5249728,-0.9879634,1.0729058,"[-0.9879634, 1.0729058]",146
age_days,0.0022327,0.0021355,-0.0021043,0.0062801,"[-0.0021043, 0.0062801]",146
Intercept,1.2673988,0.5424527,0.209314,2.3251006,"[0.209314, 2.3251006]",167
age_days,-0.0028085,0.0021789,-0.0071492,0.0013481,"[-0.0071492, 0.0013481]",167
Intercept,0.8124067,0.5282411,-0.1991187,1.8732723,"[-0.1991187, 1.8732723]",124
age_days,-0.0010599,0.0021761,-0.0053268,0.0031598,"[-0.0053268, 0.0031598]",124
Intercept,0.3764561,0.5509661,-0.7013856,1.4721386,"[-0.7013856, 1.4721386]",79
age_days,6.706e-4,0.0022877,-0.0038147,0.0051874,"[-0.0038147, 0.0051874]",79
Intercept,0.4429019,0.5399185,-0.6427743,1.4853407,"[-0.6427743, 1.4853407]",58
age_days,4.678e-4,0.0022231,-0.0039342,0.0048161,"[-0.0039342, 0.0048161]",58
Intercept,-0.5524772,0.5501143,-1.6134619,0.5423117,"[-1.6134619, 0.5423117]",190
age_days,0.0045616,0.0022379,2.42e-4,0.009014,"[0.000242, 0.009014]",190
Intercept,0.2357528,0.5466134,-0.8396108,1.3024357,"[-0.8396108, 1.3024357]",102
age_days,0.0014845,0.0022321,-0.0028448,0.0058872,"[-0.0028448, 0.0058872]",102
Intercept,0.9550008,0.5186498,-0.0595167,1.9522971,"[-0.0595167, 1.9522971]",147
age_days,-0.0016241,0.002129,-0.0057378,0.0025376,"[-0.0057378, 0.0025376]",147
Intercept,1.5204259,0.5493246,0.4571915,2.6052854,"[0.4571915, 2.6052854]",168
age_days,-0.0039302,0.0022604,-0.008318,5.718e-4,"[-0.008318, 0.0005718]",168
Intercept,0.7454075,0.5925094,-0.4402336,1.8968687,"[-0.4402336, 1.8968687]",35
age_days,-7.552e-4,0.0024379,-0.0058209,0.0038428,"[-0.0058209, 0.0038428]",35
Intercept,0.626376,0.5331935,-0.3961035,1.6955724,"[-0.3961035, 1.6955724]",80
age_days,-1.147e-4,0.0021457,-0.0042834,0.0041293,"[-0.0042834, 0.0041293]",80
Intercept,0.3406478,0.5138659,-0.6400493,1.3592323,"[-0.6400493, 1.3592323]",59
