Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,0.0013244,0.0022833,-0.0032361,0.0057946,"[-0.0032361, 0.0057946]",28
Intercept,-0.1195663,0.5939351,-1.2776336,1.059157,"[-1.2776336, 1.059157]",94
z_age_days,0.0024428,0.0024795,-0.0024549,0.0072738,"[-0.0024549, 0.0072738]",94
Intercept,1.0123809,0.5408419,-0.0153809,2.101174,"[-0.0153809, 2.101174]",160
z_age_days,-0.0025044,0.0022461,-0.0069184,0.0018381,"[-0.0069184, 0.0018381]",160
Intercept,-0.0248928,0.5585433,-1.1806348,1.0019997,"[-1.1806348, 1.0019997]",72
z_age_days,0.0019218,0.0022857,-0.0025066,0.0063735,"[-0.0025066, 0.0063735]",72
Intercept,-0.2333263,0.5646254,-1.3745919,0.8471427,"[-1.3745919, 0.8471427]",182
z_age_days,0.0026333,0.0023344,-0.0017379,0.0074282,"[-0.0017379, 0.0074282]",182
Intercept,-0.245847,0.5443666,-1.3065633,0.8428865,"[-1.3065633, 0.8428865]",138
z_age_days,0.0025877,0.0022365,-0.001981,0.0069057,"[-0.001981, 0.0069057]",138
Intercept,-0.3407025,0.5689182,-1.4703144,0.774235,"[-1.4703144, 0.774235]",116
z_age_days,0.0029202,0.0023275,-0.0016603,0.0074906,"[-0.0016603, 0.0074906]",116
Intercept,-0.6082801,0.5855139,-1.7322368,0.5577205,"[-1.7322368, 0.5577205]",50
z_age_days,0.004126,0.0024107,-5.944e-4,0.0088367,"[-0.0005944, 0.0088367]",50
Intercept,-0.3288566,0.5948637,-1.5317376,0.8061806,"[-1.5317376, 0.8061806]",161
z_age_days,0.003014,0.0024227,-0.0017424,0.0077858,"[-0.0017424, 0.0077858]",161
Intercept,0.082579,0.6418077,-1.1948788,1.3245516,"[-1.1948788, 1.3245516]",29
z_age_days,0.0013369,0.0026419,-0.003699,0.0066857,"[-0.003699, 0.0066857]",29
Intercept,-0.1246075,0.5416303,-1.1948161,0.9313564,"[-1.1948161, 0.9313564]",73
z_age_days,0.0020238,0.0022339,-0.0024068,0.0063675,"[-0.0024068, 0.0063675]",73
Intercept,0.4030234,0.5504574,-0.6511542,1.4918662,"[-0.6511542, 1.4918662]",95
z_age_days,-2.664e-4,0.0022642,-0.004837,0.0040613,"[-0.004837, 0.0040613]",95
Intercept,0.4866827,0.5363774,-0.5843888,1.5349631,"[-0.5843888, 1.5349631]",139
z_age_days,-4.936e-4,0.0022572,-0.0050438,0.003877,"[-0.0050438, 0.003877]",139
Intercept,0.3298678,0.5341853,-0.6897722,1.414363,"[-0.6897722, 1.414363]",183
z_age_days,1.96e-4,0.0022388,-0.0042359,0.00454,"[-0.0042359, 0.00454]",183
Intercept,-0.3496829,0.5347069,-1.3647573,0.7113329,"[-1.3647573, 0.7113329]",117
z_age_days,0.0032979,0.0022313,-0.0010206,0.0076303,"[-0.0010206, 0.0076303]",117
Intercept,-0.7100138,0.557569,-1.7912453,0.3959511,"[-1.7912453, 0.3959511]",51
z_age_days,0.0046778,0.0023149,2.649e-4,0.009328,"[0.0002649, 0.009328]",51
Intercept,-0.3252402,0.5277915,-1.340444,0.7260091,"[-1.340444, 0.7260091]",162
z_age_days,0.0028324,0.0021683,-0.0013283,0.0071566,"[-0.0013283, 0.0071566]",162
Intercept,0.0666443,0.5397989,-0.9812231,1.1261157,"[-0.9812231, 1.1261157]",96
z_age_days,0.0011709,0.0022318,-0.0031841,0.0055611,"[-0.0031841, 0.0055611]",96
Intercept,0.6920137,0.5693374,-0.4171917,1.7989411,"[-0.4171917, 1.7989411]",140
z_age_days,-0.0012747,0.0023528,-0.0058222,0.0032863,"[-0.0058222, 0.0032863]",140
Intercept,1.6592012,0.5533943,0.5555815,2.7110149,"[0.5555815, 2.7110149]",74
z_age_days,-0.0050962,0.0022875,-0.0095659,-6.018e-4,"[-0.0095659, -0.0006018]",74
Intercept,0.5527152,0.5722961,-0.5673591,1.6647372,"[-0.5673591, 1.6647372]",184
