Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,0.4893957,0.0737873,0.3489142,0.6367198,"[0.3489142, 0.6367198]",186
z_age_days,0.0805525,0.1034236,-0.127821,0.276852,"[-0.127821, 0.276852]",186
Intercept,0.5762231,0.075007,0.427038,0.7197697,"[0.427038, 0.7197697]",96
z_age_days,0.0591845,0.1179288,-0.1791455,0.2868689,"[-0.1791455, 0.2868689]",96
Intercept,0.5965799,0.0734838,0.4551331,0.7433917,"[0.4551331, 0.7433917]",126
z_age_days,0.0155332,0.1316328,-0.2398151,0.2850119,"[-0.2398151, 0.2850119]",126
Intercept,0.6592417,0.0757339,0.5143154,0.8076387,"[0.5143154, 0.8076387]",217
z_age_days,-0.1292299,0.1058999,-0.3388943,0.0770793,"[-0.3388943, 0.0770793]",217
Intercept,0.5256508,0.0731521,0.3824708,0.6697603,"[0.3824708, 0.6697603]",37
z_age_days,-0.0837847,0.1072877,-0.2964406,0.1231662,"[-0.2964406, 0.1231662]",37
Intercept,0.5613064,0.0765714,0.4073451,0.709902,"[0.4073451, 0.709902]",67
z_age_days,-0.0844401,0.1304516,-0.3380433,0.1760673,"[-0.3380433, 0.1760673]",67
Intercept,0.5669518,0.0808134,0.4089023,0.723841,"[0.4089023, 0.723841]",187
z_age_days,-0.0474199,0.1230182,-0.2909059,0.1922259,"[-0.2909059, 0.1922259]",187
Intercept,0.6188279,0.0719387,0.4759293,0.7598351,"[0.4759293, 0.7598351]",97
z_age_days,0.0817562,0.1035151,-0.1188483,0.2834383,"[-0.1188483, 0.2834383]",97
Intercept,0.5109466,0.0822789,0.352448,0.671239,"[0.352448, 0.671239]",157
z_age_days,-0.0111,0.1151813,-0.2356657,0.2176336,"[-0.2356657, 0.2176336]",157
Intercept,0.5635477,0.0758112,0.4204954,0.7134701,"[0.4204954, 0.7134701]",7
z_age_days,0.0289,0.1429598,-0.2628712,0.3056274,"[-0.2628712, 0.3056274]",7
Intercept,0.5363659,0.0719719,0.3997927,0.6821806,"[0.3997927, 0.6821806]",127
z_age_days,0.0262389,0.1144942,-0.1901888,0.2626775,"[-0.1901888, 0.2626775]",127
Intercept,0.6371936,0.0727413,0.4932978,0.7781987,"[0.4932978, 0.7781987]",218
z_age_days,0.0719846,0.1084522,-0.1419897,0.2809669,"[-0.1419897, 0.2809669]",218
Intercept,0.5292741,0.070939,0.3910579,0.6680349,"[0.3910579, 0.6680349]",38
z_age_days,0.0422269,0.1224323,-0.2022081,0.285324,"[-0.2022081, 0.285324]",38
Intercept,0.5701143,0.0745869,0.4211059,0.7130617,"[0.4211059, 0.7130617]",188
z_age_days,-0.0511516,0.1010377,-0.2484809,0.1477675,"[-0.2484809, 0.1477675]",188
Intercept,0.5219469,0.0749692,0.3758591,0.6687212,"[0.3758591, 0.6687212]",68
z_age_days,-0.1590207,0.123829,-0.41410400000000003,0.0794348,"[-0.414104, 0.0794348]",68
Intercept,0.4867163,0.0731204,0.3416711,0.6291053,"[0.3416711, 0.6291053]",8
z_age_days,0.103954,0.1057013,-0.1032959,0.3110276,"[-0.1032959, 0.3110276]",8
Intercept,0.6461125,0.073209,0.4994646,0.7882441,"[0.4994646, 0.7882441]",98
z_age_days,0.0312231,0.1072018,-0.1796677,0.2402336,"[-0.1796677, 0.2402336]",98
Intercept,0.5725221,0.0719045,0.4336989,0.7153504,"[0.4336989, 0.7153504]",158
z_age_days,-0.187031,0.1238627,-0.4244543,0.065726,"[-0.4244543, 0.065726]",158
Intercept,0.5874007,0.0733874,0.4413892,0.7305452,"[0.4413892, 0.7305452]",219
z_age_days,-0.0314588,0.1246967,-0.2822965,0.2094421,"[-0.2822965, 0.2094421]",219
Intercept,0.5882171,0.0735798,0.4441832,0.7330882,"[0.4441832, 0.7330882]",39
z_age_days,-0.0265926,0.105715,-0.2389717,0.1786761,"[-0.2389717, 0.1786761]",39
Intercept,0.5631821,0.0727667,0.4233222,0.7097718,"[0.4233222, 0.7097718]",128
z_age_days,-0.0206798,0.1112555,-0.229332,0.2088016,"[-0.229332, 0.2088016]",128
Intercept,0.6229155,0.0752178,0.4726488,0.7674289,"[0.4726488, 0.7674289]",9
z_age_days,0.0185627,0.107723,-0.1966384,0.2271195,"[-0.1966384, 0.2271195]",9
Intercept,0.5740423,0.0718663,0.435126,0.7159106,"[0.435126, 0.7159106]",69
z_age_days,-0.0648424,0.1066972,-0.2745936,0.1460077,"[-0.2745936, 0.1460077]",69
Intercept,0.5269394,0.0746262,0.3851197,0.6759752,"[0.3851197, 0.6759752]",189
z_age_days,0.0727773,0.1194843,-0.1664092,0.3065669,"[-0.1664092, 0.3065669]",189
Intercept,0.5759488,0.0726814,0.4391056,0.7223744,"[0.4391056, 0.7223744]",99
z_age_days,-0.0710859,0.120775,-0.3146809,0.1626923,"[-0.3146809, 0.1626923]",99
Intercept,0.5513528,0.0720135,0.4052515,0.6886912,"[0.4052515, 0.6886912]",159
z_age_days,0.041501,0.1011489,-0.159821,0.236275,"[-0.159821, 0.236275]",159
Intercept,0.6114399,0.0734798,0.4707451,0.7583843,"[0.4707451, 0.7583843]",129
z_age_days,0.0232489,0.1043477,-0.1875807,0.2233241,"[-0.1875807, 0.2233241]",129
Intercept,0.5245155,0.0768231,0.3758074,0.6740501,"[0.3758074, 0.6740501]",40
z_age_days,0.0137654,0.1076223,-0.1975651,0.2289042,"[-0.1975651, 0.2289042]",40
Intercept,0.5297018,0.0713593,0.3905641,0.670615,"[0.3905641, 0.670615]",220
z_age_days,-0.0483949,0.1331773,-0.3015959,0.2306568,"[-0.3015959, 0.2306568]",220
Intercept,0.5639017,0.0755496,0.4139064,0.7115519,"[0.4139064, 0.7115519]",10
z_age_days,-0.0216655,0.1040329,-0.2241994,0.1808747,"[-0.2241994, 0.1808747]",10
Intercept,0.6322586,0.0746356,0.4855296,0.7785811,"[0.4855296, 0.7785811]",70
